,Date,Type,Country,Activity,Sex,Fatal (Y/N),Year
3339,16-Mar-1972,Unprovoked,USA,Spearfishing,M,N,1972
3340,20-Feb-1972,Unprovoked,AUSTRALIA,Surfing,M,N,1972
3342,01-Jan-1972,Unprovoked,SOUTH AFRICA,Swimming,M,Y,1972
3343,01-Jan-1971,Unprovoked,SOUTH AFRICA,Sitting in shallows,F,N,1971
3348,16-Dec-1971,Unprovoked,SOUTH AFRICA,Swimming,F,N,1971
3349,05-Dec-1971,Unprovoked,AUSTRALIA,,M,Y,1971
3352,23-Oct-1971,Unprovoked,USA,Surfing,M,N,1971
3353,14-Oct-1971,Unprovoked,SOUTH AFRICA,Swimming,M,N,1971
3354,02-Oct-1971,Unprovoked,USA,Scuba diving,M,N,1971
3357,05-Sep-1971,Unprovoked,AUSTRALIA,Fishing,M,Y,1971
3358,21-Aug-1971,Provoked,AUSTRALIA,Scuba diving & feeding fish,M,N,1971
3359,26-Jul-1971,Unprovoked,USA,Wading,M,N,1971
3360,19-Jul-1971,Unprovoked,USA,Hookah diving (submerged),M,N,1971
3361,30-Jun-1971,Unprovoked,SOUTH AFRICA,Surfing,M,N,1971
3364,11-Apr-1971,Unprovoked,SOUTH AFRICA,Swimming,M,Y,1971
3370,02-Jan-1971,Unprovoked,AUSTRALIA,Swimming,M,N,1971
3371,1971,Unprovoked,AUSTRALIA,Surfing,M,N,1971
3377,03-Dec-1970,Sea Disaster,USA,Shipwreck,M,N,1970
3379,24-Oct-1970,Unprovoked,USA,Body surfing,M,N,1970
3380,Oct-1970,Unprovoked,USA,Surfing,M,N,1970
3383,05-Sep-1970,Unprovoked,USA,Floating on a raft,M,N,1970
3384,02-Sep-1970,Provoked,AUSTRALIA,,M,N,1970
3385,Sep-1970,Unprovoked,USA,Swimming,M,N,1970
3386,Sep-1970,Unprovoked,USA,Scuba diving,M,N,1970
3389,22-Jun-1970,Provoked,USA,Fishing,M,N,1970
3390,15-Jun-1970,Provoked,SOUTH AFRICA,Scuba Diving,M,N,1970
3397,31-Mar-1970,Invalid,USA,Body surfing,M,,1970
3398,23-Mar-1970,Unprovoked,USA,Wading,M,N,1970
3416,30-Nov-1969,Unprovoked,AUSTRALIA,Swimming,M,N,1969
3417,11-Nov-1969,Unprovoked,USA,Scuba diving for lobsters,M,N,1969
3418,05-Nov-1969,Provoked,AUSTRALIA,,M,N,1969
3419,14-Oct-1969,Unprovoked,USA,Diving,M,N,1969
3420,06-Sep-1969,Unprovoked,USA,Free diving for abalone,M,N,1969
3421,29-Aug-1969,Unprovoked,USA,Floating on his back,M,N,1969
3422,22-Aug-1969,Provoked,USA,Fishing,M,N,1969
3423,02-Aug-1969,Unprovoked,USA,Surfing,M,N,1969
3424,02-Aug-1969,Unprovoked,USA,Body surfing,M,N,1969
3427,22-Jul-1969,Provoked,USA,,M,N,1969
3428,20-Jul-1969,Unprovoked,USA,Freediving for abalone (at surface),M,N,1969
3429,27-Jun-1969,Unprovoked,USA,Wading,M,UNKNOWN,1969
3431,Jun-1969,Unprovoked,USA,Wading,M,N,1969
3432,25-May-1969,Provoked,USA,Surf-fishing,M,N,1969
3433,24-May-1969,Provoked,USA,Diving,M,N,1969
3436,22-Apr-1969,Invalid,AUSTRALIA,Netting pilchards,M,,1969
3437,19-Aug-1969,Provoked,USA,Fishing,M,N,1969
3438,25-Mar-1969,Provoked,AUSTRALIA,,M,N,1969
3439,09-Mar-1969,Unprovoked,USA,Surfing,M,N,1969
3440,17-Feb-1969,Provoked,AUSTRALIA,Fishing,M,N,1969
3441,Feb-1969,Invalid,AUSTRALIA,Hard hat diving,M,,1969
3442,27-Jan-1969,Unprovoked,AUSTRALIA,Freediving,M,N,1969
3443,Jan-1969,Unprovoked,AUSTRALIA,,M,N,1969
3445,29-Dec-1968,Invalid,SOUTH AFRICA,Freediving,M,,1968
3446,26-Dec-1968,Provoked,AUSTRALIA,Feeding mullet to sharks,M,N,1968
3448,09-Dec-1968,Unprovoked,AUSTRALIA,,M,N,1968
3449,02-Dec-1968,Unprovoked,SOUTH AFRICA,Spearfishing,M,N,1968
3450,Dec-1968,Invalid,SOUTH AFRICA,,M,,1968
3451,06-Nov-1968,Boating,SOUTH AFRICA,Fishing,M,N,1968
3453,02-Nov-1968,Provoked,AUSTRALIA,,M,N,1968
3455,13-Oct-1968,Unprovoked,USA,Spearfishing using Scuba,M,N,1968
3460,21-Aug-1968,Unprovoked,USA,Standing,M,N,1968
3464,27-Jul-1968,Unprovoked,USA,Free diving,M,N,1968
3465,23-Jul-1968,Unprovoked,USA,Wading,M,N,1968
3466,16-Jul-1968,Unprovoked,USA,Spearfishing using Scuba,M,N,1968
3470,09-Jun-1968,Unprovoked,USA,Clamming,M,N,1968
3474,29-Apr-1968,Invalid,USA,Wading,M,,1968
3475,20-Apr-1968,Unprovoked,USA,,M,N,1968
3476,15-Apr-1968,Unprovoked,AUSTRALIA,"Diving. Shark swallowed his hand, so he threw his other around the shark and went shark-back riding for 30 yards until the shark opened its jaws",M,N,1968
3478,07-Apr-1968,Provoked,AUSTRALIA,,M,N,1968
3479,25-Mar-1968,Unprovoked,SOUTH AFRICA,Wading & pushing dinghy toward  the shallows,M,N,1968
3480,10-Mar-1968,Unprovoked,USA,Surfing,M,N,1968
3481,Mar-1968,Invalid,USA,Treading water,M,,1968
3482,26-Feb-1968,Unprovoked,USA,Surfing,M,N,1968
3483,20-Feb-1968,Unprovoked,AUSTRALIA,Swimming,F,N,1968
3485,04-Feb-1968,Unprovoked,AUSTRALIA,Spearfishing,M,N,1968
3492,30-Dec-1967,Unprovoked,SOUTH AFRICA,Surfing,M,N,1967
3495,17-Dec-1967,Unprovoked,AUSTRALIA,Swimming,M,Y,1967
3496,14-Dec-1967,Provoked,USA,,M,N,1967
3497,30-Nov-1967,Provoked,AUSTRALIA,Freediving,M,N,1967
3498,30-Nov-1967,Unprovoked,AUSTRALIA,,M,N,1967
3501,Nov-1967,Invalid,SOUTH AFRICA,,F,,1967
3503,17-Oct-1967,Unprovoked,USA,Standing on sandbar,M,N,1967
3505,20-Sep-1967,Invalid,USA,Boat capsized between O'ahu & Molokai,M,,1967
3511,27-Aug-1967,Provoked,USA,Pulling shark from the water,M,N,1967
3514,19-Aug-1967,Unprovoked,AUSTRALIA,"Spearfishing, dived to pick up a float line",M,Y,1967
3517,10-Aug-1967,Invalid,AUSTRALIA,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,,1967
3518,07-Aug-1967,Unprovoked,USA,Spearfishing,M,N,1967
3521,29-Jul-1967,Unprovoked,USA,Snorkeling,M,N,1967
3523,Jul-1967,Invalid,USA,Surfing,M,,1967
3524,13-Jun-1967,Provoked,USA,Spearfishing,M,N,1967
3526,13 or 30-May-1967,Provoked,AUSTRALIA,,M,N,1967
3527,09-May-1967,Provoked,AUSTRALIA,Feeding a shark,M,N,1967
3530,19-Mar-1967,Unprovoked,SOUTH AFRICA,Spearfishing,M,N,1967
3531,12-Mar-1967,Provoked,AUSTRALIA,Spearfishing,M,N,1967
3537,22-Jan-1967,Provoked,SOUTH AFRICA,Spearfishing Competition,M,N,1967
3539,06-Jan-1967,Provoked,AUSTRALIA,Splashing,M,N,1967
3540,31-Dec-1966,Unprovoked,AUSTRALIA,Fishing,M,N,1966
3541,27-Dec-1966,Provoked,AUSTRALIA,Spearfishing,M,N,1966
3542,27-Dec-1966,Unprovoked,AUSTRALIA,Spearfishing,M,N,1966
3544,26-Dec-1966,Unprovoked,AUSTRALIA,Spearfishing,M,N,1966
3549,27-Sep-1966,Unprovoked,AUSTRALIA,"Free diving, carrying speargun",M,N,1966
3550,19-Sep-1966,Provoked,USA,Fishing,M,N,1966
3551,18-Sep-1966,Invalid,AUSTRALIA,Spearfishing,M,,1966
3552,13-Sep-1966,Provoked,AUSTRALIA,Spearfishing,M,UNKNOWN,1966
3553,10-Sep-1966,Unprovoked,AUSTRALIA,Spearfishing,M,N,1966
3554,8-Sep-1966,Provoked,USA,Hunting crayfish ,M,N,1966
3556,28-Aug-1966,Boating,AUSTRALIA,,M,N,1966
3557,27-Aug-1966,Invalid,SOUTH AFRICA,Netting sharks,M,,1966
3564,Mid Aug-1966,Invalid,USA,Spearfishing on Scuba,M,,1966
3565,Aug-1966,Unprovoked,USA,Wading,M,N,1966
3566,31-Jul-1966,Unprovoked,USA,Diving for sand dollars,M,N,1966
3567,19-Jul-1966,Provoked,USA,Killing a shark,M,N,1966
3568,17-Jul-1966,Unprovoked,USA,Fishing,M,N,1966
3571,03-Jul-1966,Invalid,USA,Free diving,M,,1966
3573,22-Jun-1966,Provoked,USA,Clamming,M,N,1966
3574,11-Jun-1966,Provoked,USA,Fishing,M,N,1966
3575,04-Jun-1966,Unprovoked,USA,Swimming,M,N,1966
